percentage,amount,time
3.09,1983.00,1582614256611
3.09,1982.85,1582614258611
3.06,1982.45,1582614260612
3.06,1982.45,1582614262613
3.06,1982.45,1582614264572
3.06,1982.45,1582614266611
3.06,1982.45,1582614268611
3.05,1982.15,1582614270573
3.07,1982.60,1582614272611
3.05,1982.15,1582614274569
3.07,1982.60,1582614276607
3.07,1982.60,1582614278573
3.04,1982.00,1582614280613
3.01,1981.35,1582614282613
3.01,1981.35,1582614284575
3.04,1982.00,1582614286612
3.01,1981.45,1582614288612
3.00,1981.30,1582614290612
3.05,1982.15,1582614292612
3.00,1981.20,1582614294583
3.01,1981.35,1582614296612
3.05,1982.20,1582614298582
3.01,1981.35,1582614300613
3.05,1982.15,1582614302611
3.01,1981.35,1582614304612
3.01,1981.35,1582614306609
3.01,1981.35,1582614308611
3.05,1982.20,1582614310576
3.01,1981.40,1582614312610
3.09,1983.00,1582614314568
3.07,1982.50,1582614316568
3.04,1982.00,1582614318611
3.04,1982.00,1582614320568
3.04,1982.00,1582614322609
3.05,1982.20,1582614324610
3.02,1981.50,1582614326593
3.02,1981.50,1582614328610
3.02,1981.50,1582614330611
3.00,1981.20,1582614332611
2.95,1980.20,1582614334611
2.89,1979.10,1582614336605
2.89,1979.10,1582614338568
2.87,1978.70,1582614340609
2.89,1979.10,1582614342602
2.92,1979.60,1582614344572
2.89,1979.10,1582614346609
2.87,1978.70,1582614348608
2.89,1979.05,1582614350609
2.92,1979.60,1582614352606
2.96,1980.40,1582614354609
2.97,1980.55,1582614356611
2.89,1979.10,1582614358610
2.89,1979.10,1582614360609
2.94,1980.00,1582614362610
2.94,1980.00,1582614364567
2.89,1979.10,1582614366606
2.92,1979.65,1582614368608
2.92,1979.65,1582614370607
2.89,1979.00,1582614372607
2.89,1979.10,1582614374609
2.89,1979.00,1582614376583
2.89,1979.00,1582614378610
2.89,1979.05,1582614380581
2.85,1978.30,1582614382565
2.88,1978.90,1582614384609
2.86,1978.50,1582614386607
2.78,1976.95,1582614388566
2.79,1977.15,1582614390607
2.77,1976.75,1582614392609
2.83,1978.00,1582614394577
2.82,1977.80,1582614396608
2.84,1978.20,1582614398570
2.79,1977.20,1582614400607
2.79,1977.15,1582614402607
2.83,1978.00,1582614404569
2.83,1978.00,1582614406608
2.87,1978.75,1582614408608
2.83,1977.90,1582614410576
2.83,1978.00,1582614412570
2.78,1977.00,1582614414579
2.76,1976.55,1582614416600
2.73,1976.10,1582614418609
2.73,1975.95,1582614420604
2.26,1967.00,1582614422610
2.31,1968.00,1582614424608
2.26,1967.00,1582614426608
2.30,1967.75,1582614428609
2.37,1969.00,1582614430616
2.47,1971.00,1582614432606
2.43,1970.30,1582614434605
2.47,1971.05,1582614436567
2.37,1969.15,1582614438572
2.48,1971.25,1582614440583
2.51,1971.80,1582614442606
2.49,1971.30,1582614444606
2.54,1972.30,1582614446606
2.56,1972.80,1582614448566
2.51,1971.70,1582614450604
2.52,1972.00,1582614452568
2.51,1971.70,1582614454608
2.52,1972.00,1582614456604
2.52,1971.95,1582614458590
2.52,1972.00,1582614460607
2.53,1972.10,1582614462606
2.47,1971.00,1582614464605
2.42,1970.00,1582614466563
2.35,1968.75,1582614468580
