amount,time
794.00,Wed Feb 26 11:50:21 2020
794.00,Wed Feb 26 11:50:23 2020
794.20,Wed Feb 26 11:50:25 2020
794.00,Wed Feb 26 11:50:27 2020
794.05,Wed Feb 26 11:50:29 2020
794.05,Wed Feb 26 11:50:31 2020
794.00,Wed Feb 26 11:50:33 2020
794.00,Wed Feb 26 11:50:35 2020
794.20,Wed Feb 26 11:50:37 2020
794.00,Wed Feb 26 11:50:39 2020
794.10,Wed Feb 26 11:50:41 2020
794.00,Wed Feb 26 11:50:43 2020
794.00,Wed Feb 26 11:50:45 2020
793.95,Wed Feb 26 11:50:47 2020
794.00,Wed Feb 26 11:50:49 2020
794.15,Wed Feb 26 11:50:51 2020
794.15,Wed Feb 26 11:50:53 2020
794.20,Wed Feb 26 11:50:55 2020
794.00,Wed Feb 26 11:50:57 2020
794.15,Wed Feb 26 11:50:59 2020
794.10,Wed Feb 26 11:51:01 2020
794.00,Wed Feb 26 11:51:03 2020
794.20,Wed Feb 26 11:51:05 2020
794.20,Wed Feb 26 11:51:07 2020
